brand,hue,sat,lightness,name,specific,shade_group,imgSrc
It Cosmetics,29.2105263157895,0.678571428571428,0.780392156862745,Light Warm,21,Light Warm,https://images.ulta.com/is/image/Ulta/2568655sw?$50px$
It Cosmetics,29.6296296296296,0.566433566433566,0.719607843137255,Light Neutral,21.5,Light Neutral,https://images.ulta.com/is/image/Ulta/2570829sw?$50px$
It Cosmetics,26.4935064935065,0.538461538461538,0.719607843137255,Light Neutral,22,Light Neutral,https://images.ulta.com/is/image/Ulta/2568661sw?$50px$
It Cosmetics,30.0,0.75,0.811764705882353,Light Warm,22.5,Light Warm,https://images.ulta.com/is/image/Ulta/2570830sw?$50px$
It Cosmetics,28.9411764705882,0.691056910569106,0.758823529411765,Light Warm,23,Light Warm,https://images.ulta.com/is/image/Ulta/2568663sw?$50px$
It Cosmetics,26.4935064935065,0.531034482758621,0.715686274509804,Medium Cool,30,Medium Cool,https://images.ulta.com/is/image/Ulta/2568675sw?$50px$
It Cosmetics,27.8571428571429,0.506024096385542,0.674509803921569,Medium Neutral,31,Medium Neutral,https://images.ulta.com/is/image/Ulta/2568657sw?$50px$
It Cosmetics,28.1481481481481,0.442622950819672,0.641176470588235,Medium Neutral,31.5,Medium Neutral,https://images.ulta.com/is/image/Ulta/2570831sw?$50px$
It Cosmetics,28.2692307692308,0.565217391304348,0.63921568627451,Medium Warm,32,Medium Warm,https://images.ulta.com/is/image/Ulta/2568660sw?$50px$
It Cosmetics,23.8709677419355,0.53757225433526,0.66078431372549,Medium Cool,34,Medium Cool,https://images.ulta.com/is/image/Ulta/2568666sw?$50px$
It Cosmetics,28.1632653061225,0.475728155339806,0.596078431372549,Medium Warm,35,Medium Warm,https://images.ulta.com/is/image/Ulta/2570832sw?$50px$
It Cosmetics,20.5263157894737,0.463414634146342,0.67843137254902,Medium Cool,36,Medium Cool,https://images.ulta.com/is/image/Ulta/2570833sw?$50px$
It Cosmetics,26.3414634146341,0.398058252427184,0.596078431372549,Tan Neutral,39,Tan Neutral,https://images.ulta.com/is/image/Ulta/2570834sw?$50px$
It Cosmetics,27.8350515463918,0.49238578680203,0.613725490196078,Tan Cool,40,Tan Cool,https://images.ulta.com/is/image/Ulta/2568667sw?$50px$
It Cosmetics,27.6923076923077,0.525252525252525,0.611764705882353,Tan Warm,41,Tan Warm,https://images.ulta.com/is/image/Ulta/2568668sw?$50px$
It Cosmetics,28.9830508474576,0.572815533980582,0.596078431372549,Tan Neutral,42,Tan Neutral,https://images.ulta.com/is/image/Ulta/2568665sw?$50px$
It Cosmetics,28.0434782608696,0.38655462184874,0.533333333333333,Tan Warm,42.5,Tan Warm,https://images.ulta.com/is/image/Ulta/2570835sw?$50px$
It Cosmetics,27.6,0.4,0.509803921568627,Tan Warm,43,Tan Warm,https://images.ulta.com/is/image/Ulta/2568672sw?$50px$
It Cosmetics,24.7058823529412,0.477911646586345,0.488235294117647,Tan Warm,44,Tan Warm,https://images.ulta.com/is/image/Ulta/2568671sw?$50px$
It Cosmetics,23.5955056179775,0.354581673306773,0.492156862745098,Rich Cool,50,Tan Cool,https://images.ulta.com/is/image/Ulta/2568669sw?$50px$
It Cosmetics,25.2941176470588,0.476635514018692,0.419607843137255,Rich Warm,51,Tan Warm,https://images.ulta.com/is/image/Ulta/2568664sw?$50px$
It Cosmetics,24.4444444444444,0.34468085106383,0.46078431372549,Rich Neutral,51.25,Tan Neutral,https://images.ulta.com/is/image/Ulta/2570836sw?$50px$
It Cosmetics,25.625,0.457142857142857,0.411764705882353,Rich Warm,51.5,Tan Warm,https://images.ulta.com/is/image/Ulta/2570837sw?$50px$
It Cosmetics,23.8636363636364,0.4,0.431372549019608,Rich Cool,51.75,Tan Cool,https://images.ulta.com/is/image/Ulta/2570838sw?$50px$
It Cosmetics,23.030303030303,0.535135135135135,0.362745098039216,Rich Warm,52,Tan Warm,https://images.ulta.com/is/image/Ulta/2568674sw?$50px$
It Cosmetics,21.4285714285714,0.39622641509434,0.415686274509804,Rich Neutral,53,Tan Neutral,https://images.ulta.com/is/image/Ulta/2568673sw?$50px$
It Cosmetics,18.1818181818182,0.362637362637363,0.356862745098039,Deep Neutral,58,Deep Neutral,https://images.ulta.com/is/image/Ulta/2570839sw?$50px$
It Cosmetics,20.4878048780488,0.427083333333333,0.376470588235294,Deep Cool,59,Deep Cool,https://images.ulta.com/is/image/Ulta/2570840sw?$50px$
It Cosmetics,25.4794520547945,0.464968152866242,0.307843137254902,Deep Warm,60,Deep Warm,https://images.ulta.com/is/image/Ulta/2568670sw?$50px$
It Cosmetics,21.6666666666667,0.514285714285714,0.274509803921569,Deep Neutral,61,Deep Neutral,https://images.ulta.com/is/image/Ulta/2568679sw?$50px$
It Cosmetics,18.3050847457627,0.443609022556391,0.26078431372549,Deep Cool,62,Deep Cool,https://images.ulta.com/is/image/Ulta/2568683sw?$50px$
It Cosmetics,7.82608695652174,0.2875,0.313725490196078,Deep Cool,63,Deep Cool,https://images.ulta.com/is/image/Ulta/2570841sw?$50px$
It Cosmetics,4.0,0.176470588235294,0.333333333333333,Deep Cool,64,Deep Cool,https://images.ulta.com/is/image/Ulta/2570842sw?$50px$
KVD Vegan Beauty,25.3211009174312,0.54228855721393,0.605882352941176,Medium   N,54,Medium Neutral,https://images.ulta.com/is/image/Ulta/2570562sw?$tn$
KVD Vegan Beauty,24.375,0.842105263157895,0.850980392156863,Light   N,40,Light Neutral,https://images.ulta.com/is/image/Ulta/2570704sw?$50px$
KVD Vegan Beauty,22.3728813559322,0.67816091954023,0.829411764705882,Light   N,41,Light Neutral,https://images.ulta.com/is/image/Ulta/2570705sw?$50px$
KVD Vegan Beauty,21.3698630136986,0.901234567901235,0.841176470588235,Light   N,42,Light Neutral,https://images.ulta.com/is/image/Ulta/2570706sw?$50px$
KVD Vegan Beauty,30.3529411764706,0.858585858585859,0.805882352941176,Light   W,42,Light Neutral,https://images.ulta.com/is/image/Ulta/2570714sw?$50px$
KVD Vegan Beauty,27.8787878787879,0.891891891891892,0.782352941176471,Light   W,43,Light Neutral,https://images.ulta.com/is/image/Ulta/2570707sw?$50px$
KVD Vegan Beauty,20.2941176470588,0.708333333333333,0.811764705882353,Light   C,44,Light Neutral,https://images.ulta.com/is/image/Ulta/2570708sw?$50px$
KVD Vegan Beauty,28.75,0.774193548387097,0.756862745098039,Light   N,45,Light Neutral,https://images.ulta.com/is/image/Ulta/2570709sw?$50px$
KVD Vegan Beauty,25.360824742268,0.788617886178862,0.758823529411765,Light   W,45,Light Neutral,https://images.ulta.com/is/image/Ulta/2570710sw?$50px$
KVD Vegan Beauty,18.0,0.573770491803279,0.76078431372549,Light   C,46,Light Neutral,https://images.ulta.com/is/image/Ulta/2570711sw?$50px$
KVD Vegan Beauty,26.0869565217391,0.605263157894737,0.701960784313725,Light   N,47,Light Neutral,https://images.ulta.com/is/image/Ulta/2570712sw?$50px$
KVD Vegan Beauty,23.8709677419355,0.563636363636364,0.676470588235294,Light   N,48,Light Neutral,https://images.ulta.com/is/image/Ulta/2570713sw?$50px$
KVD Vegan Beauty,23.4285714285714,0.668789808917197,0.692156862745098,Light   N,49,Light Neutral,https://images.ulta.com/is/image/Ulta/2570715sw?$50px$
KVD Vegan Beauty,30.0,0.545454545454545,0.654901960784314,Medium   W,51,Medium Neutral,https://images.ulta.com/is/image/Ulta/2570558sw?$50px$
KVD Vegan Beauty,19.1304347826087,0.560975609756098,0.758823529411765,Medium   N,52,Medium Neutral,https://images.ulta.com/is/image/Ulta/2570555sw?$50px$
KVD Vegan Beauty,22.6415094339623,0.670886075949367,0.690196078431373,Medium   W,52,Medium Neutral,https://images.ulta.com/is/image/Ulta/2570556sw?$50px$
KVD Vegan Beauty,32.0,0.483870967741935,0.635294117647059,Medium   N,52.5,Medium Neutral,https://images.ulta.com/is/image/Ulta/2570557sw?$50px$
KVD Vegan Beauty,28.6725663716814,0.556650246305419,0.601960784313725,Medium   N,53,Medium Neutral,https://images.ulta.com/is/image/Ulta/2570559sw?$50px$
